,artist,song,spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cp_length,genres
2529,michael calfan,treasured soul,2z9BHtXQT5XsrIThekoZ8s,0.623,0.833,4.0,-2.951,0.0,0.0557,0.0191,0.0174,0.331,0.41100000000000003,124.973,177600.0,4.0,5,"['big room', 'deep groove house', 'deep house', 'deep tropical house', 'disco house', 'edm', 'electro house', 'house', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
2530,michael franti - spearhead,say hey - i love you,1PpuABE4jUvBQaP7rGOaoi,0.6990000000000001,0.99,5.0,-2.26,0.0,0.0694,0.03,0.0,0.10800000000000001,0.948,93.005,234453.0,4.0,5,[]
2531,michael jackson,beat it,1OOtq8tRnDM8kG2gqUPjAj,0.779,0.867,3.0,-3.7039999999999997,0.0,0.0457,0.0491,7.98e-06,0.19699999999999998,0.915,138.858,258040.0,4.0,5,"['pop', 'r&b', 'soul']"
2532,michael jackson,billie jean,5ChkMS8OtdzJeqyybCc9R5,0.92,0.654,11.0,-3.051,0.0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827.0,4.0,5,"['pop', 'r&b', 'soul']"
2533,michael jackson,black or white,7EsjkelQuoUlJXEw7SeVV4,0.518,0.9,9.0,-3.748,1.0,0.0933,0.172,0.0315,0.0713,0.872,115.029,254933.0,4.0,5,"['pop', 'r&b', 'soul']"
2534,michael jackson,earth song,4GCGH6TJ69neckwITeBFXK,0.5,0.44,3.0,-7.521,0.0,0.0319,0.48200000000000004,0.00011200000000000001,0.087,0.14300000000000002,138.374,406040.0,4.0,4,"['pop', 'r&b', 'soul']"
2535,michael jackson,man in the mirror,1kiNatIrwDusOZfR29W0LJ,0.8079999999999999,0.812,8.0,-5.012,1.0,0.0381,0.52,7.91e-05,0.134,0.26899999999999996,100.331,318680.0,4.0,3,"['pop', 'r&b', 'soul']"
2536,michael jackson,smooth criminal,2bCQHF9gdG5BNDVuEIEnNk,0.853,0.981,8.0,-3.947,1.0,0.0751,0.247,0.46799999999999997,0.306,0.595,118.193,257760.0,4.0,5,"['pop', 'r&b', 'soul']"
2537,michael kiwanuka,bones,1r0YmhJ6BxgItlDNzYRENK,0.64,0.46799999999999997,0.0,-9.446,0.0,0.0372,0.625,0.0,0.289,0.501,111.595,228080.0,4.0,3,"['british soul', 'neo soul', 'soul']"
2538,michael sembello,maniac,0QKfiqpEU4h9ycPSzIFwYe,0.617,0.5329999999999999,3.0,-11.515999999999998,0.0,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,244707.0,4.0,3,['hi-nrg']
2539,michael sembello,maniac,0QKfiqpEU4h9ycPSzIFwYe,0.617,0.5329999999999999,3.0,-11.515999999999998,0.0,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,244707.0,4.0,4,['hi-nrg']
2540,michael sembello,maniac,0QKfiqpEU4h9ycPSzIFwYe,0.617,0.5329999999999999,3.0,-11.515999999999998,0.0,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,244707.0,4.0,5,['hi-nrg']
2541,michel telo,ai se eu te pego,46aIq2GKW7Vr6i4g2Vvycd,0.65,0.9470000000000001,11.0,-5.3260000000000005,1.0,0.0717,0.222,0.0,0.9790000000000001,0.6940000000000001,96.035,170493.0,4.0,5,"['pagode', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
2542,michelle branch,all you wanted,0kr6d8wHDQPlzuET33NVn6,0.499,0.72,8.0,-9.101,1.0,0.0286,0.00466,0.00303,0.122,0.652,96.103,217680.0,4.0,3,"['candy pop', 'dance pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']"
2543,michelle branch,everywhere,1u0l8zWpQeMYStFkc2mLD7,0.523,0.828,1.0,-4.6960000000000015,1.0,0.0762,0.0136,0.00025499999999999996,0.165,0.47600000000000003,96.95200000000001,214827.0,4.0,5,"['candy pop', 'dance pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']"
2544,midlake,acts of man,05eawRd0MudDy2BDNoW6hC,0.47100000000000003,0.495,0.0,-11.755,0.0,0.027000000000000003,0.574,0.0389,0.11900000000000001,0.373,130.88299999999998,177027.0,4.0,3,"['austindie', 'chamber pop', 'denton tx indie', 'freak folk', 'indie folk', 'modern folk rock', 'stomp and holler']"
